キーワード,日付と時刻,ソース,イベント ID,タスクのカテゴリ
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		::1
	ソース ポート:		60596
	宛先アドレス:	::1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	8
	レイヤ名:		接続
	レイヤの実行時 ID:	50"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		60596
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		192.168.16.1
	ソース ポート:		52671
	宛先アドレス:	192.168.16.1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	7
	レイヤ名:		接続
	レイヤの実行時 ID:	48"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		58450
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		59004
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		1432
	アプリケーション名:	\device\harddiskvolume1\windows\system32\dns.exe

ネットワーク情報:
	方向:		着信
	送信元アドレス:		::1
	ソース ポート:		53
	宛先アドレス:	::1
	宛先ポート:		55447
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	6
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	46"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		::1
	ソース ポート:		55447
	宛先アドレス:	::1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	8
	レイヤ名:		接続
	レイヤの実行時 ID:	50"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		55447
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		1432
	アプリケーション名:	\device\harddiskvolume1\windows\system32\dns.exe

ネットワーク情報:
	方向:		着信
	送信元アドレス:		192.168.16.1
	ソース ポート:		53
	宛先アドレス:	192.168.16.1
	宛先ポート:		61497
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	5
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	44"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		192.168.16.1
	ソース ポート:		61497
	宛先アドレス:	192.168.16.1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	7
	レイヤ名:		接続
	レイヤの実行時 ID:	48"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		61497
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		56966
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		::1
	ソース ポート:		52671
	宛先アドレス:	::1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	8
	レイヤ名:		接続
	レイヤの実行時 ID:	50"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		192.168.16.1
	ソース ポート:		52671
	宛先アドレス:	192.168.16.1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	7
	レイヤ名:		接続
	レイヤの実行時 ID:	48"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		54163
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		58645
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		::1
	ソース ポート:		52671
	宛先アドレス:	::1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	8
	レイヤ名:		接続
	レイヤの実行時 ID:	50"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		1432
	アプリケーション名:	\device\harddiskvolume1\windows\system32\dns.exe

ネットワーク情報:
	方向:		着信
	送信元アドレス:		192.168.16.1
	ソース ポート:		53
	宛先アドレス:	192.168.16.1
	宛先ポート:		58412
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	5
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	44"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		192.168.16.1
	ソース ポート:		58412
	宛先アドレス:	192.168.16.1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	7
	レイヤ名:		接続
	レイヤの実行時 ID:	48"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		58412
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		60257
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		53042
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		::1
	ソース ポート:		65535
	宛先アドレス:	::1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	8
	レイヤ名:		接続
	レイヤの実行時 ID:	50"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		65535
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		1432
	アプリケーション名:	\device\harddiskvolume1\windows\system32\dns.exe

ネットワーク情報:
	方向:		着信
	送信元アドレス:		192.168.16.1
	ソース ポート:		53
	宛先アドレス:	192.168.16.1
	宛先ポート:		57822
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	5
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	44"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		192.168.16.1
	ソース ポート:		57822
	宛先アドレス:	192.168.16.1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	7
	レイヤ名:		接続
	レイヤの実行時 ID:	48"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		57822
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		60295
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		1432
	アプリケーション名:	\device\harddiskvolume1\windows\system32\dns.exe

ネットワーク情報:
	方向:		着信
	送信元アドレス:		::1
	ソース ポート:		53
	宛先アドレス:	::1
	宛先ポート:		53087
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	6
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	46"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		::1
	ソース ポート:		53087
	宛先アドレス:	::1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	8
	レイヤ名:		接続
	レイヤの実行時 ID:	50"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		53087
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		192.168.16.1
	ソース ポート:		52671
	宛先アドレス:	192.168.16.1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	7
	レイヤ名:		接続
	レイヤの実行時 ID:	48"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		53905
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		1432
	アプリケーション名:	\device\harddiskvolume1\windows\system32\dns.exe

ネットワーク情報:
	方向:		着信
	送信元アドレス:		::1
	ソース ポート:		53
	宛先アドレス:	::1
	宛先ポート:		57482
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	6
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	46"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		::1
	ソース ポート:		57482
	宛先アドレス:	::1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	8
	レイヤ名:		接続
	レイヤの実行時 ID:	50"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		57482
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		1432
	アプリケーション名:	\device\harddiskvolume1\windows\system32\dns.exe

ネットワーク情報:
	方向:		着信
	送信元アドレス:		192.168.16.1
	ソース ポート:		53
	宛先アドレス:	192.168.16.1
	宛先ポート:		63548
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	5
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	44"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		192.168.16.1
	ソース ポート:		63548
	宛先アドレス:	192.168.16.1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	7
	レイヤ名:		接続
	レイヤの実行時 ID:	48"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		63548
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		0.0.0.0
	ソース ポート:		62355
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	36"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		送信
	送信元アドレス:		::1
	ソース ポート:		52671
	宛先アドレス:	::1
	宛先ポート:		53
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	8
	レイヤ名:		接続
	レイヤの実行時 ID:	50"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5158,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、ローカル ポートへのバインドが許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	送信元アドレス:		::
	ソース ポート:		52671
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		リソース割り当て
	レイヤの実行時 ID:	38"
成功の監査,2019/11/07 17:04:49,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		1432
	アプリケーション名:	\device\harddiskvolume1\windows\system32\dns.exe

ネットワーク情報:
	方向:		着信
	送信元アドレス:		192.168.16.1
	ソース ポート:		53
	宛先アドレス:	192.168.16.1
	宛先ポート:		63653
	プロトコル:		17

フィルタ情報:
	フィルタの実行時 ID:	5
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	44"
